Region,is24Hours,carParkCount,hasCarparkCost,invHourLim,hasTouristAttraction,currentType,numberOfConnectors,hasChargingCost
Canterbury,TRUE,1,FALSE,0,FALSE,AC,1,TRUE
Southland,TRUE,2,FALSE,0,FALSE,AC,1,TRUE
Auckland,FALSE,4,FALSE,0,FALSE,AC,4,FALSE
Waikato,TRUE,2,FALSE,0,TRUE,DC,3,TRUE
Waikato,TRUE,2,FALSE,0,FALSE,DC,3,TRUE
Waikato,TRUE,3,FALSE,0,FALSE,Mixed,5,FALSE
Waikato,TRUE,2,FALSE,0,FALSE,DC,3,TRUE
Waikato,TRUE,3,FALSE,0,FALSE,Mixed,5,FALSE
Waikato,TRUE,2,FALSE,0,FALSE,DC,3,TRUE
Waikato,TRUE,3,FALSE,0,FALSE,Mixed,5,FALSE
Waikato,TRUE,2,FALSE,0,FALSE,DC,3,TRUE
Waikato,TRUE,3,FALSE,0,FALSE,Mixed,5,FALSE
Waikato,TRUE,2,FALSE,0,TRUE,DC,3,TRUE
Waikato,TRUE,3,FALSE,0,FALSE,Mixed,5,FALSE
Waikato,TRUE,3,FALSE,0,FALSE,Mixed,5,FALSE
Waikato,TRUE,2,FALSE,0,FALSE,DC,3,TRUE
Auckland,TRUE,14,FALSE,0,FALSE,AC,14,FALSE
Waikato,TRUE,4,FALSE,0,FALSE,AC,4,TRUE
Waikato,TRUE,4,FALSE,0,FALSE,AC,4,TRUE
Waikato,TRUE,2,FALSE,0,FALSE,AC,2,TRUE
Waikato,TRUE,2,FALSE,0,FALSE,AC,2,TRUE
Waikato,TRUE,2,FALSE,0,FALSE,AC,2,TRUE
Waikato,TRUE,4,FALSE,0,FALSE,AC,4,TRUE
Auckland,FALSE,9,TRUE,0,FALSE,AC,9,FALSE
Canterbury,TRUE,4,FALSE,0,FALSE,DC,6,TRUE
Canterbury,TRUE,2,FALSE,0,FALSE,DC,2,TRUE
Auckland,TRUE,2,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,2,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,2,FALSE,0,FALSE,DC,2,TRUE
Auckland,TRUE,2,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,2,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,2,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,4,FALSE,0,FALSE,DC,4,TRUE
Bay of Plenty,TRUE,2,FALSE,0,FALSE,DC,2,TRUE
Auckland,TRUE,4,FALSE,0,FALSE,DC,4,TRUE
Waikato,TRUE,2,FALSE,0,FALSE,DC,2,TRUE
Auckland,TRUE,2,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,3,FALSE,0,FALSE,DC,4,TRUE
Waikato,TRUE,5,FALSE,0,FALSE,DC,7,TRUE
Auckland,TRUE,4,FALSE,0,FALSE,DC,4,TRUE
Auckland,TRUE,4,FALSE,0,FALSE,DC,4,TRUE
Waikato,TRUE,3,FALSE,0,FALSE,DC,4,TRUE
Auckland,TRUE,2,FALSE,0.5,FALSE,DC,4,FALSE
Auckland,TRUE,2,FALSE,0.5,FALSE,DC,4,FALSE
Auckland,TRUE,1,FALSE,0.5,FALSE,DC,2,FALSE
Auckland,TRUE,3,FALSE,0.5,FALSE,DC,8,FALSE
Auckland,TRUE,1,FALSE,0.5,FALSE,DC,2,FALSE
Auckland,TRUE,2,FALSE,0.5,FALSE,DC,4,FALSE
Auckland,TRUE,1,FALSE,0.5,FALSE,DC,2,FALSE
Auckland,TRUE,1,FALSE,0.5,FALSE,DC,1,FALSE
Auckland,TRUE,1,FALSE,0.5,FALSE,DC,2,FALSE
Auckland,TRUE,2,FALSE,0.5,FALSE,DC,4,FALSE
Auckland,TRUE,2,FALSE,0.5,FALSE,DC,3,FALSE
Auckland,TRUE,3,FALSE,0.5,FALSE,DC,3,FALSE
Auckland,TRUE,1,FALSE,0.5,FALSE,DC,2,FALSE
Auckland,TRUE,1,FALSE,0.5,FALSE,DC,2,FALSE
Auckland,TRUE,2,FALSE,0.5,FALSE,DC,4,FALSE
Auckland,TRUE,2,FALSE,0.5,FALSE,DC,6,FALSE
Auckland,TRUE,2,FALSE,0.5,FALSE,DC,2,FALSE
Auckland,TRUE,3,FALSE,0.5,FALSE,Mixed,8,FALSE
Auckland,TRUE,2,FALSE,0.5,FALSE,DC,4,FALSE
Wellington,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Wellington,TRUE,2,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,TRUE,0,FALSE,AC,1,TRUE
Manawatu-Wanganui,TRUE,2,FALSE,0,FALSE,DC,4,TRUE
Canterbury,FALSE,1,FALSE,0,FALSE,AC,4,FALSE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,AC,2,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Canterbury,TRUE,1,FALSE,0.25,FALSE,AC,4,FALSE
Canterbury,TRUE,1,FALSE,0.333333333,FALSE,AC,2,FALSE
Canterbury,TRUE,1,FALSE,0.333333333,FALSE,AC,2,FALSE
Canterbury,TRUE,1,FALSE,0.5,FALSE,AC,4,FALSE
Wellington,FALSE,1,FALSE,0.5,FALSE,AC,2,FALSE
Wellington,TRUE,1,FALSE,0.5,FALSE,AC,2,FALSE
Wellington,TRUE,1,FALSE,0.5,FALSE,AC,1,TRUE
Canterbury,TRUE,1,FALSE,0.25,FALSE,AC,4,FALSE
Auckland,FALSE,1,FALSE,0,FALSE,AC,4,FALSE
Auckland,TRUE,1,FALSE,0.666666667,FALSE,AC,2,FALSE
Canterbury,TRUE,1,FALSE,0.333333333,FALSE,AC,4,FALSE
Canterbury,TRUE,1,FALSE,0.5,FALSE,AC,4,FALSE
Canterbury,FALSE,1,FALSE,0.5,FALSE,AC,2,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Wellington,TRUE,1,FALSE,0,FALSE,Mixed,12,FALSE
Nelson,TRUE,1,FALSE,0,FALSE,Mixed,4,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,6,FALSE
Waikato,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Auckland,TRUE,1,FALSE,0.5,FALSE,AC,8,FALSE
Wellington,TRUE,1,FALSE,0.333333333,FALSE,AC,4,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,FALSE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Wellington,TRUE,1,FALSE,0.5,FALSE,Mixed,6,FALSE
Canterbury,FALSE,1,FALSE,0,FALSE,AC,4,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,8,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Waikato,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Wellington,TRUE,1,FALSE,0.5,FALSE,DC,4,TRUE
Nelson,FALSE,1,FALSE,0,FALSE,AC,4,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,6,FALSE
Wellington,TRUE,1,FALSE,0,FALSE,AC,8,FALSE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Southland,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Wellington,TRUE,1,FALSE,0.5,FALSE,DC,4,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Wellington,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Wellington,TRUE,1,FALSE,0.5,FALSE,Mixed,8,TRUE
Wellington,TRUE,1,FALSE,0.5,FALSE,DC,4,TRUE
Auckland,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Southland,FALSE,1,FALSE,0,FALSE,AC,6,FALSE
Wellington,TRUE,1,FALSE,0.5,FALSE,DC,4,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,1,FALSE
Wellington,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Wellington,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Canterbury,TRUE,1,FALSE,0,FALSE,AC,4,FALSE
Wellington,TRUE,1,FALSE,0.5,FALSE,Mixed,14,FALSE
Canterbury,TRUE,1,FALSE,0.333333333,FALSE,AC,4,FALSE
Auckland,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Auckland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Auckland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Auckland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Auckland,FALSE,1,TRUE,0,FALSE,AC,6,FALSE
Auckland,FALSE,1,TRUE,0,FALSE,AC,6,FALSE
Auckland,TRUE,1,TRUE,0,FALSE,AC,3,FALSE
Auckland,FALSE,1,TRUE,0,FALSE,AC,3,FALSE
Auckland,FALSE,1,TRUE,0,FALSE,AC,6,FALSE
Auckland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Auckland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Auckland,TRUE,1,TRUE,0,FALSE,Mixed,5,TRUE
Auckland,TRUE,1,TRUE,0,FALSE,AC,6,FALSE
Auckland,TRUE,1,TRUE,0,FALSE,AC,6,FALSE
Auckland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Auckland,FALSE,1,TRUE,0,FALSE,AC,6,FALSE
Auckland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Auckland,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Auckland,TRUE,1,TRUE,0,FALSE,Mixed,3,TRUE
Auckland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Auckland,FALSE,1,TRUE,0,FALSE,AC,6,FALSE
Auckland,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Auckland,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Auckland,TRUE,1,FALSE,0,FALSE,DC,6,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Waikato,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,TRUE,0,FALSE,DC,6,TRUE
Bay of Plenty,TRUE,1,TRUE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Gisborne,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
Waikato,TRUE,1,FALSE,0,FALSE,Mixed,4,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,6,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Waikato,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Bay of Plenty,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Taranaki,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Taranaki,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Taranaki,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Taranaki,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Hawke's Bay,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,5,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Manawatu-Wanganui,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Tasman,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Tasman,TRUE,1,FALSE,0,FALSE,DC,2,FALSE
Tasman,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,8,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
West Coast,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Nelson,TRUE,1,FALSE,0,FALSE,Mixed,3,TRUE
Nelson,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Marlborough,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,AC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,2,TRUE
Wellington,TRUE,1,FALSE,0,FALSE,DC,4,TRUE
